age,job,marital,education,default,housing,loan,helper,contact,month,year,date,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
30,blue-collar,married,basic.9y,no,yes,no,30blue-collarmarriedbasic.9ynoyesnofri487,cellular,may,2009,,fri,487,2,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,no
39,services,single,high.school,no,no,no,39servicessinglehigh.schoolnononofri346,telephone,may,2008,,fri,346,4,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
25,services,married,high.school,no,yes,no,25servicesmarriedhigh.schoolnoyesnowed227,telephone,jun,2008,,wed,227,1,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,no
38,services,married,basic.9y,no,unknown,unknown,38servicesmarriedbasic.9ynounknownunknownfri17,telephone,jun,2008,,fri,17,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
47,admin.,married,university.degree,no,yes,no,47admin.marrieduniversity.degreenoyesnomon58,cellular,nov,2008,,mon,58,1,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,no
32,services,single,university.degree,no,no,no,32servicessingleuniversity.degreenononothu128,cellular,sep,2010,,thu,128,3,999,2,failure,-1.1,94.199,-37.5,0.884,4963.6,no
32,admin.,single,university.degree,no,yes,no,32admin.singleuniversity.degreenoyesnomon290,cellular,sep,2010,,mon,290,4,999,0,nonexistent,-1.1,94.199,-37.5,0.879,4963.6,no
41,entrepreneur,married,university.degree,unknown,yes,no,41entrepreneurmarrieduniversity.degreeunknownyesnomon44,cellular,nov,2008,,mon,44,2,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,no
31,services,divorced,professional.course,no,no,no,31servicesdivorcedprofessional.coursenononotue68,cellular,nov,2008,,tue,68,1,999,1,failure,-0.1,93.2,-42,4.153,5195.8,no
35,blue-collar,married,basic.9y,unknown,no,no,35blue-collarmarriedbasic.9yunknownnonothu170,telephone,may,2008,,thu,170,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
25,services,single,basic.6y,unknown,yes,no,25servicessinglebasic.6yunknownyesnothu301,cellular,jul,2008,,thu,301,1,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,no
36,self-employed,single,basic.4y,no,no,no,36self-employedsinglebasic.4ynononothu148,cellular,jul,2008,,thu,148,1,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no
36,admin.,married,high.school,no,no,no,36admin.marriedhigh.schoolnononowed97,telephone,may,2008,,wed,97,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,no
47,blue-collar,married,basic.4y,no,yes,no,47blue-collarmarriedbasic.4ynoyesnothu211,telephone,jun,2008,,thu,211,2,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no
29,admin.,single,high.school,no,no,no,29admin.singlehigh.schoolnononofri553,cellular,may,2009,,fri,553,2,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,no
27,services,single,university.degree,no,no,no,27servicessingleuniversity.degreenononowed698,cellular,jul,2008,,wed,698,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
44,admin.,divorced,university.degree,no,no,no,44admin.divorceduniversity.degreenononowed191,cellular,jul,2008,,wed,191,6,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
46,admin.,divorced,university.degree,no,yes,no,46admin.divorceduniversity.degreenoyesnomon59,telephone,jul,2008,,mon,59,4,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
45,entrepreneur,married,university.degree,unknown,yes,yes,45entrepreneurmarrieduniversity.degreeunknownyesyesmon38,cellular,aug,2008,,mon,38,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
50,blue-collar,married,basic.4y,no,no,yes,50blue-collarmarriedbasic.4ynonoyestue849,cellular,jul,2008,,tue,849,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,yes
55,services,married,basic.6y,unknown,yes,no,55servicesmarriedbasic.6yunknownyesnotue326,cellular,jul,2008,,tue,326,6,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
39,technician,divorced,high.school,no,no,no,39techniciandivorcedhigh.schoolnononomon222,cellular,mar,2010,,mon,222,1,12,2,success,-1.8,93.369,-34.8,0.639,5008.7,yes
29,technician,single,university.degree,no,yes,yes,29techniciansingleuniversity.degreenoyesyeswed626,cellular,aug,2008,,wed,626,3,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,no
40,management,married,high.school,no,no,yes,40managementmarriedhigh.schoolnonoyeswed119,cellular,aug,2008,,wed,119,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
44,technician,married,professional.course,unknown,yes,no,44technicianmarriedprofessional.courseunknownyesnofri388,telephone,may,2008,,fri,388,7,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,no
38,technician,married,professional.course,no,yes,no,38technicianmarriedprofessional.coursenoyesnomon479,cellular,aug,2008,,mon,479,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,yes
36,technician,divorced,professional.course,no,no,no,36techniciandivorcedprofessional.coursenononowed446,telephone,may,2008,,wed,446,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
28,blue-collar,married,basic.6y,unknown,no,no,28blue-collarmarriedbasic.6yunknownnonomon68,cellular,may,2009,,mon,68,2,999,1,failure,-1.8,92.893,-46.2,1.299,5099.1,no
47,admin.,single,unknown,unknown,no,no,47admin.singleunknownunknownnonothu127,telephone,may,2008,,thu,127,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,no
34,admin.,married,university.degree,no,no,no,34admin.marrieduniversity.degreenononotue109,cellular,aug,2008,,tue,109,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
38,technician,married,university.degree,no,yes,yes,38technicianmarrieduniversity.degreenoyesyestue113,cellular,mar,2009,,tue,113,1,999,1,failure,-1.8,92.843,-50,1.687,5099.1,no
